transacao_id,categoria_produto,split,valor_total,desconto,valor_total_bucket,desconto_bucket
0,Fertilizantes,train,9065.4,554.7,7,7
1,Defensivos,train,12685.26,527.82,9,7
2,Defensivos,train,3301.99,193.79,3,3
3,Sementes,train,2223.44,271.21,2,5
4,Defensivos,train,5854.93,367.07,6,5
5,Fertilizantes,train,20972.59,1735.61,9,9
6,Defensivos,train,1471.39,160.76,1,3
7,Defensivos,train,3711.25,476.18,4,6
8,Defensivos,train,624.01,85.01,0,1
9,Máquinas,train,8345.83,892.95,0,2
10,Sementes,train,342.8,16.03,0,0
11,Defensivos,train,4427.56,264.29,4,4
12,Máquinas,train,46180.33,3007.88,5,5
13,Fertilizantes,train,5225.82,625.88,5,7
14,Defensivos,train,9438.46,506.62,8,7
15,Sementes,train,4246.21,411.99,5,6
16,Sementes,train,7930.49,688.51,8,8
17,Máquinas,train,45794.09,6355.87,5,8
18,Fertilizantes,train,4840.62,338.82,4,5
19,Fertilizantes,train,6857.83,378.28,6,5
20,Fertilizantes,train,2953.67,167.53,2,2
21,Defensivos,train,662.67,62.29,0,1
22,Sementes,train,6061.21,936.83,6,9
23,Defensivos,train,3324.91,328.01,3,5
24,Sementes,train,9728.87,274.41,8,5
25,Defensivos,train,15289.93,2299.04,9,9
26,Fertilizantes,train,844.41,50.53,0,0
27,Defensivos,train,13543.52,1176.61,9,9
28,Máquinas,train,20555.02,395.64,2,0
29,Sementes,train,4953.15,483.01,5,7
30,Fertilizantes,train,3626.41,296.19,3,4
31,Fertilizantes,train,4444.5,212.25,4,3
32,Fertilizantes,train,2971.62,386.76,2,5
33,Sementes,train,1725.48,134.44,1,2
34,Fertilizantes,train,1844.64,83.16,1,1
35,Defensivos,train,247.55,16.18,0,0
36,Defensivos,train,2066.89,51.63,2,0
37,Defensivos,train,4191.89,243.67,4,4
38,Defensivos,train,8600.14,527.65,7,7
39,Fertilizantes,train,3108.2,268.03,2,4
40,Sementes,train,4709.38,319.02,5,5
41,Máquinas,train,50051.01,1917.51,6,4
42,Máquinas,train,44258.57,2408.73,5,5
43,Sementes,train,7222.57,341.93,7,6
44,Máquinas,train,85579.72,6215.48,8,8
45,Fertilizantes,train,13682.77,286.91,9,4
46,Defensivos,train,35459.09,455.77,9,6
47,Defensivos,train,4817.3,74.2,5,1
48,Defensivos,train,1262.9,101.38,1,1
49,Fertilizantes,train,5613.65,339.4,5,5
50,Máquinas,train,19965.58,618.56,2,1
51,Defensivos,train,5848.18,435.02,6,6
52,Fertilizantes,train,5250.8,195.25,5,3
