epoch,loss_treino,loss_churn,loss_categoria,loss_valor,val_churn_auc,val_categoria_acc,val_categoria_f1,val_valor_acc
1,4.315109,0.607642,1.389253,2.318214,0.787558,0.315278,0.181920,0.089819
2,4.259240,0.570291,1.379020,2.309928,0.787192,0.258231,0.102826,0.098164
3,4.246358,0.564731,1.373334,2.308293,0.785410,0.344712,0.226653,0.093916
4,4.235510,0.559969,1.367249,2.308292,0.785775,0.343650,0.244610,0.099681
5,4.227799,0.559075,1.360860,2.307864,0.788082,0.297679,0.186717,0.097406
6,4.218385,0.557416,1.352392,2.308577,0.788790,0.372478,0.313104,0.099681
7,4.209481,0.557514,1.344488,2.307478,0.789145,0.345471,0.252728,0.105447
8,4.196024,0.556809,1.332396,2.306819,0.789036,0.357761,0.235838,0.096647
9,4.181384,0.555146,1.319470,2.306768,0.788671,0.455621,0.423745,0.100440
10,4.166749,0.554757,1.305408,2.306584,0.788716,0.443939,0.371456,0.103323
11,4.157410,0.554915,1.296160,2.306335,0.789615,0.463359,0.413583,0.103323
12,4.144787,0.553764,1.284199,2.306825,0.789420,0.363223,0.260617,0.097406
13,4.144570,0.553611,1.285126,2.305832,0.789822,0.488090,0.457503,0.097406
14,4.138934,0.553484,1.279906,2.305545,0.789554,0.438477,0.419341,0.095585
15,4.132353,0.553909,1.271691,2.306753,0.790068,0.501138,0.489383,0.092399
16,4.124847,0.551389,1.268321,2.305136,0.789486,0.408284,0.368694,0.100288
17,4.129896,0.556563,1.267153,2.306180,0.790156,0.498103,0.462793,0.100288
18,4.119757,0.551090,1.263382,2.305285,0.789788,0.538158,0.529943,0.106661
19,4.115903,0.552038,1.257789,2.306077,0.790011,0.457290,0.398298,0.101957
20,4.123935,0.552135,1.266242,2.305558,0.788880,0.517979,0.512435,0.103626
21,4.109413,0.551342,1.252946,2.305126,0.790071,0.478380,0.432880,0.101047
22,4.109858,0.550862,1.253180,2.305816,0.789256,0.442573,0.406642,0.099681
23,4.111890,0.550745,1.255932,2.305213,0.790074,0.476407,0.451929,0.101502
24,4.103513,0.550994,1.247694,2.304826,0.789812,0.517220,0.498342,0.097557
25,4.102218,0.551284,1.245346,2.305588,0.788580,0.555454,0.551997,0.099833
26,4.095846,0.550633,1.240265,2.304947,0.788539,0.341071,0.270372,0.102868
27,4.097150,0.550469,1.242058,2.304624,0.789832,0.536641,0.524338,0.096799
28,4.101960,0.549862,1.247046,2.305052,0.789709,0.532544,0.532767,0.101654
29,4.098472,0.549890,1.243855,2.304727,0.789785,0.455621,0.386869,0.103930
30,4.107685,0.551970,1.251345,2.304369,0.789999,0.496890,0.463282,0.099681
31,4.099487,0.551176,1.243658,2.304652,0.790214,0.563041,0.560768,0.100743
32,4.100902,0.550084,1.245761,2.305057,0.790143,0.495372,0.445623,0.094523
33,4.094028,0.551062,1.238299,2.304667,0.789971,0.477166,0.426769,0.098468
34,4.099013,0.550594,1.243500,2.304919,0.788714,0.485511,0.479343,0.103323
35,4.094719,0.550014,1.240277,2.304427,0.790081,0.496890,0.456488,0.093916
36,4.094538,0.549769,1.240437,2.304333,0.789546,0.389167,0.299521,0.103930
37,4.093926,0.550337,1.239039,2.304550,0.790040,0.489152,0.460725,0.095585
38,4.089943,0.549424,1.236179,2.304340,0.789344,0.512214,0.487403,0.100288
39,4.087599,0.549341,1.233808,2.304450,0.788657,0.494766,0.431605,0.096343
40,4.096497,0.549584,1.241889,2.305024,0.789967,0.521620,0.499379,0.095433
