epoch,loss_treino_media,loss_val,perplexidade_val,n_tokens_val,elapsed_s
1,2.636856,1.822805,6.1892,96595,9.8
2,1.771292,1.769241,5.8664,96595,9.1
3,1.734727,1.753712,5.7760,96595,9.1
4,1.710903,1.711818,5.5390,96595,9.2
5,1.661387,1.656299,5.2399,96595,9.1
6,1.640213,1.668833,5.3060,96595,9.2
7,1.630660,1.645216,5.1821,96595,9.1
8,1.623409,1.646458,5.1886,96595,9.1
9,1.619274,1.646490,5.1887,96595,9.1
10,1.615002,1.622049,5.0635,96595,9.1
11,1.612748,1.663315,5.2768,96595,9.1
12,1.610960,1.636899,5.1392,96595,9.1
13,1.608302,1.645440,5.1833,96595,9.1
14,1.607456,1.636515,5.1372,96595,9.1
15,1.605890,1.653252,5.2239,96595,9.1
16,1.605255,1.625284,5.0799,96595,9.1
17,1.603774,1.642370,5.1674,96595,9.1
18,1.603560,1.626530,5.0862,96595,9.1
19,1.602701,1.639678,5.1535,96595,9.1
20,1.601868,1.633392,5.1212,96595,9.1
21,1.601715,1.640824,5.1594,96595,9.2
22,1.601491,1.638006,5.1449,96595,9.1
23,1.601096,1.638938,5.1497,96595,9.1
24,1.600962,1.637096,5.1402,96595,9.2
25,1.601183,1.637024,5.1398,96595,9.1
26,1.601082,1.637436,5.1420,96595,9.1
27,1.600959,1.637544,5.1425,96595,9.1
28,1.600582,1.637554,5.1426,96595,9.1
29,1.600551,1.637552,5.1426,96595,9.1
30,1.600355,1.637574,5.1427,96595,9.1
