step,epoch,loss_treino,lr,grad_norm,tokens_por_seg,gpu_mem_gb,elapsed_s
1,1,5.750205,3.000000e-06,4.2812,3435.0,0.441,0.7
20,1,5.383030,6.000000e-05,1.9297,160144.2,0.590,1.0
40,1,4.815554,1.200000e-04,1.7266,104599.6,0.598,1.4
60,1,4.339606,1.800000e-04,1.5547,131729.7,0.603,1.8
80,1,3.831681,2.400000e-04,1.4844,99130.8,0.603,2.2
100,1,3.272166,3.000000e-04,1.2656,111122.2,0.603,2.5
120,1,2.757000,2.999982e-04,0.9766,121126.2,0.603,2.9
140,1,2.417147,2.999926e-04,0.7461,108845.3,0.603,3.3
160,1,2.223639,2.999834e-04,0.6055,133050.3,0.603,3.6
180,1,2.099885,2.999705e-04,0.5117,161618.1,0.614,4.0
200,1,2.012967,2.999540e-04,0.4844,119751.4,0.614,4.4
220,1,1.969395,2.999337e-04,0.5508,101252.8,0.614,4.8
240,1,1.950632,2.999098e-04,0.4980,185159.2,0.614,5.1
260,1,1.903510,2.998822e-04,0.5508,120005.6,0.614,5.5
280,1,1.867181,2.998509e-04,0.5508,95987.3,0.614,5.9
300,1,1.869956,2.998159e-04,0.5352,169937.0,0.614,6.3
320,1,1.871775,2.997772e-04,0.5742,81591.6,0.614,6.6
340,1,1.835966,2.997349e-04,0.5117,123464.1,0.614,7.0
360,1,1.836238,2.996889e-04,0.5000,169934.3,0.614,7.4
380,1,1.825011,2.996392e-04,0.4336,119485.1,0.614,7.7
400,1,1.820055,2.995858e-04,0.5781,116901.0,0.614,8.1
420,1,1.823249,2.995288e-04,0.5000,164735.9,0.614,8.5
440,2,1.809203,2.994681e-04,0.5078,97772.8,0.614,10.1
460,2,1.766294,2.994037e-04,0.4746,96101.1,0.614,10.5
480,2,1.795846,2.993357e-04,0.5312,110201.8,0.614,10.8
500,2,1.801871,2.992640e-04,0.5352,80182.8,0.614,11.2
520,2,1.795325,2.991886e-04,0.8984,125119.6,0.614,11.6
540,2,1.801340,2.991096e-04,0.5977,87336.9,0.614,11.9
560,2,1.784078,2.990269e-04,0.4746,96854.7,0.614,12.3
580,2,1.774936,2.989405e-04,0.4883,136165.2,0.614,12.7
600,2,1.766466,2.988505e-04,0.4375,100450.0,0.614,13.0
620,2,1.772283,2.987568e-04,0.5430,119626.0,0.614,13.4
640,2,1.772085,2.986595e-04,0.5547,135176.4,0.614,13.8
660,2,1.753420,2.985585e-04,0.5586,101990.5,0.614,14.1
680,2,1.761610,2.984539e-04,0.4902,116208.1,0.615,14.5
700,2,1.756642,2.983457e-04,0.4492,102561.2,0.615,14.9
720,2,1.779886,2.982338e-04,0.5547,107069.0,0.615,15.3
740,2,1.756020,2.981182e-04,0.4570,86875.8,0.615,15.6
760,2,1.751529,2.979990e-04,0.6484,131817.3,0.615,16.0
780,2,1.740799,2.978762e-04,0.4922,115593.7,0.615,16.4
800,2,1.746228,2.977498e-04,0.5078,150013.9,0.615,16.7
820,2,1.751001,2.976197e-04,0.4102,94264.2,0.615,17.1
840,2,1.735598,2.974860e-04,0.3672,167913.9,0.615,17.5
860,3,1.728033,2.973487e-04,0.4160,111336.0,0.615,19.1
880,3,1.755634,2.972077e-04,0.4863,117653.2,0.615,19.5
900,3,1.730956,2.970632e-04,0.6016,131096.9,0.615,19.9
920,3,1.746320,2.969150e-04,0.4062,141269.5,0.615,20.2
940,3,1.738312,2.967632e-04,0.5391,110274.5,0.615,20.6
960,3,1.754644,2.966078e-04,0.5391,124799.6,0.615,21.0
980,3,1.727302,2.964489e-04,0.5234,110807.3,0.615,21.3
1000,3,1.749862,2.962863e-04,0.4355,109080.9,0.615,21.7
1020,3,1.729303,2.961201e-04,0.5898,122147.5,0.615,22.1
1040,3,1.749690,2.959504e-04,0.4805,76631.5,0.615,22.4
1060,3,1.746728,2.957770e-04,0.4473,124319.1,0.615,22.8
1080,3,1.731897,2.956001e-04,0.4434,133000.5,0.615,23.2
1100,3,1.737284,2.954196e-04,0.4668,115257.9,0.615,23.5
1120,3,1.734681,2.952356e-04,0.4902,104121.5,0.615,23.9
1140,3,1.715940,2.950480e-04,0.4238,120566.4,0.615,24.3
1160,3,1.732724,2.948568e-04,0.5195,82548.3,0.615,24.6
