epoch,loss_treino,churn_auc,risco_review_negativo_auc,risco_atraso_entrega_auc
1,3.321069,0.885360,0.567975,0.563588
2,3.154707,0.884064,0.590124,0.555599
3,3.128402,0.883968,0.588500,0.548601
4,3.119660,0.886601,0.592686,0.546371
5,3.111237,0.886173,0.594638,0.546641
6,3.102044,0.885755,0.592427,0.544857
7,3.098737,0.886456,0.594899,0.540490
8,3.093419,0.885344,0.593630,0.545123
9,3.092667,0.886268,0.596327,0.542507
10,3.092767,0.884339,0.592953,0.539311
11,3.089813,0.888918,0.591899,0.536448
12,3.087336,0.887313,0.595715,0.546767
13,3.086148,0.885646,0.583408,0.547934
14,3.081106,0.886007,0.594532,0.544116
15,3.077493,0.886673,0.596831,0.549841
16,3.076781,0.886658,0.593103,0.544509
17,3.073809,0.885320,0.595251,0.547709
18,3.070108,0.886177,0.586820,0.550600
19,3.068311,0.885664,0.598176,0.536312
20,3.071574,0.886531,0.593850,0.536134
21,3.064177,0.884672,0.591547,0.542091
22,3.065026,0.887077,0.597631,0.542039
23,3.062493,0.887000,0.587678,0.543058
24,3.065821,0.886339,0.595882,0.537936
25,3.060824,0.888004,0.594673,0.534699
26,3.063063,0.887924,0.597334,0.538731
27,3.063670,0.886645,0.593249,0.538224
28,3.058696,0.883740,0.589253,0.541989
29,3.061384,0.885402,0.592445,0.539667
30,3.054345,0.885999,0.595958,0.536151
31,3.064966,0.887747,0.589943,0.537701
32,3.060159,0.887767,0.596191,0.544966
33,3.061041,0.884940,0.590393,0.527966
34,3.056661,0.886057,0.599004,0.542169
35,3.050904,0.886693,0.595726,0.528020
36,3.052715,0.885494,0.591736,0.528732
37,3.055400,0.885097,0.596320,0.533054
38,3.049808,0.886346,0.594821,0.531523
39,3.046719,0.885647,0.593869,0.537797
40,3.044124,0.886040,0.592169,0.531396
