epoch,loss_treino_media,loss_val,perplexidade_val,n_tokens_val,elapsed_s
1,5.053716,4.175497,65.0722,121823,17.3
2,3.349431,2.549634,12.8024,121823,15.8
3,2.075526,1.833511,6.2558,121823,16.1
4,1.668102,1.621132,5.0588,121823,16.7
5,1.487139,1.540104,4.6651,121823,17.3
6,1.369368,1.493836,4.4541,121823,17.3
7,1.308554,1.433662,4.1940,121823,17.1
8,1.271356,1.411072,4.1003,121823,17.3
9,1.233189,1.387200,4.0036,121823,15.7
10,1.212900,1.369172,3.9321,121823,16.7
11,1.194406,1.347678,3.8485,121823,16.6
12,1.185423,1.346191,3.8428,121823,15.9
13,1.171295,1.301890,3.6762,121823,17.1
14,1.159322,1.354325,3.8741,121823,16.0
15,1.156677,1.319026,3.7398,121823,17.2
16,1.148378,1.334508,3.7981,121823,16.0
17,1.148785,1.330057,3.7813,121823,16.9
18,1.146535,1.309341,3.7037,121823,17.2
19,1.147694,1.307454,3.6967,121823,16.8
20,1.139537,1.310386,3.7076,121823,16.5
21,1.136662,1.316232,3.7293,121823,15.3
22,1.135984,1.312448,3.7153,121823,16.2
23,1.145481,1.308254,3.6997,121823,15.6
24,1.139642,1.313171,3.7179,121823,16.4
25,1.132599,1.309634,3.7048,121823,17.1
26,1.137839,1.311053,3.7101,121823,16.9
27,1.138015,1.310124,3.7066,121823,17.4
28,1.135701,1.310434,3.7078,121823,16.6
29,1.140216,1.310402,3.7077,121823,16.4
30,1.136296,1.310401,3.7077,121823,16.4
