step,epoch,loss_treino,lr,grad_norm,tokens_por_seg,gpu_mem_gb,elapsed_s
1,1,5.786590,3.000000e-06,5.0312,5536.6,3.275,1.4
20,1,5.506530,6.000000e-05,3.2031,1066931.2,6.485,6.1
40,1,4.876477,1.200000e-04,2.5000,587656.8,6.485,10.5
60,1,4.416865,1.800000e-04,2.3750,418848.7,6.485,14.1
80,2,3.907486,2.400000e-04,2.2344,518726.1,6.486,19.5
100,2,3.464159,3.000000e-04,2.1094,679289.4,6.486,22.8
120,2,2.859909,2.999237e-04,1.9688,791140.5,6.486,28.1
140,3,2.352612,2.996949e-04,1.6875,984747.3,6.486,33.4
160,3,2.172339,2.993139e-04,1.2109,573406.5,6.486,37.2
180,3,1.924941,2.987810e-04,0.8477,992766.9,6.486,41.9
200,3,2.027773,2.980967e-04,1.1484,1117451.5,6.666,46.4
220,4,1.687896,2.972618e-04,0.6758,881266.7,6.666,52.0
240,4,1.660759,2.962771e-04,0.8906,475171.7,6.666,56.3
260,4,1.681490,2.951436e-04,0.8672,550643.9,6.666,60.5
280,5,1.613739,2.938625e-04,0.8359,521606.3,6.666,66.7
300,5,1.668102,2.924351e-04,0.9141,442495.9,6.666,70.4
320,5,1.365509,2.908628e-04,0.5859,718237.0,6.666,76.5
340,5,1.407960,2.891472e-04,0.7852,757449.9,6.666,81.0
360,6,1.357402,2.872900e-04,0.8750,803402.2,6.666,87.2
380,6,1.444243,2.852932e-04,0.7305,862941.5,6.666,91.2
400,6,1.365499,2.831589e-04,0.6602,685949.8,6.666,96.2
420,7,1.493199,2.808890e-04,0.7656,548042.9,6.666,101.7
440,7,1.328050,2.784860e-04,1.0469,598277.8,6.666,105.8
460,7,1.315933,2.759524e-04,0.6445,547391.3,6.666,110.4
480,7,1.381202,2.732906e-04,0.8516,659886.8,6.666,115.7
500,8,1.354766,2.705034e-04,0.8008,760063.1,6.666,121.4
520,8,1.245535,2.675936e-04,0.5859,522563.3,6.666,126.1
540,8,1.224385,2.645643e-04,0.5938,372076.0,6.666,129.9
