evento_id,entidade_id,split,churn_rotulo,churn_baseline,risco_review_negativo_rotulo,risco_review_negativo_baseline,risco_atraso_entrega_rotulo,risco_atraso_entrega_baseline
93234,0015a82c2db000af6aaaf3ae2ecb0532,train,0.0,4.962464354400159,0.0,5.0,0.0,0.08948106591865358
68728,0015a82c2db000af6aaaf3ae2ecb0532,train,0.0,15.0,1.0,5.0,0.0,0.0
55649,0015a82c2db000af6aaaf3ae2ecb0532,train,1.0,10.0,,5.0,,0.0
26404,001cca7ae9ae17fb1caed9dfb1094831,train,0.0,4.962464354400159,0.0,5.0,0.0,0.08948106591865358
103003,001cca7ae9ae17fb1caed9dfb1094831,train,0.0,14.0,0.0,2.0,0.0,0.0
103004,001cca7ae9ae17fb1caed9dfb1094831,train,0.0,7.0,0.0,2.0,0.0,0.0
103005,001cca7ae9ae17fb1caed9dfb1094831,train,0.0,4.666666666666667,0.0,4.0,0.0,0.0
103006,001cca7ae9ae17fb1caed9dfb1094831,train,0.0,3.5,0.0,4.0,0.0,0.0
103007,001cca7ae9ae17fb1caed9dfb1094831,train,0.0,2.8,0.0,4.0,0.0,0.0
45095,001cca7ae9ae17fb1caed9dfb1094831,train,0.0,3.0,0.0,4.0,0.0,0.0
88523,001cca7ae9ae17fb1caed9dfb1094831,train,0.0,3.142857142857143,0.0,4.0,0.0,0.0
88524,001cca7ae9ae17fb1caed9dfb1094831,train,0.0,2.75,0.0,4.0,0.0,0.0
42302,001cca7ae9ae17fb1caed9dfb1094831,train,0.0,2.4444444444444446,0.0,4.0,0.0,0.0
42303,001cca7ae9ae17fb1caed9dfb1094831,train,0.0,2.2,0.0,4.0,0.0,0.0
76293,001cca7ae9ae17fb1caed9dfb1094831,train,0.0,2.1818181818181817,0.0,4.0,0.0,0.0
76294,001cca7ae9ae17fb1caed9dfb1094831,train,0.0,2.0,0.0,4.0,0.0,0.0
60405,001cca7ae9ae17fb1caed9dfb1094831,train,0.0,1.8461538461538463,0.0,4.0,0.0,0.0
56726,001cca7ae9ae17fb1caed9dfb1094831,train,0.0,2.5714285714285716,0.0,5.0,0.0,0.0
56727,001cca7ae9ae17fb1caed9dfb1094831,train,0.0,2.4,0.0,5.0,0.0,0.0
29168,001cca7ae9ae17fb1caed9dfb1094831,train,0.0,2.3125,0.0,4.0,0.0,0.0
29169,001cca7ae9ae17fb1caed9dfb1094831,train,0.0,2.176470588235294,1.0,4.0,0.0,0.0
15895,001cca7ae9ae17fb1caed9dfb1094831,train,0.0,2.3333333333333335,1.0,5.0,0.0,0.0
38956,001cca7ae9ae17fb1caed9dfb1094831,train,0.0,2.210526315789474,1.0,5.0,0.0,0.0
38957,001cca7ae9ae17fb1caed9dfb1094831,train,0.0,2.1,1.0,5.0,0.0,0.0
38958,001cca7ae9ae17fb1caed9dfb1094831,train,0.0,2.0,1.0,5.0,0.0,0.0
38959,001cca7ae9ae17fb1caed9dfb1094831,train,0.0,1.9090909090909092,0.0,5.0,0.0,0.0
40808,001cca7ae9ae17fb1caed9dfb1094831,train,0.0,1.8695652173913044,1.0,5.0,0.0,0.0
64816,001cca7ae9ae17fb1caed9dfb1094831,train,0.0,1.875,1.0,5.0,1.0,0.0
102891,001cca7ae9ae17fb1caed9dfb1094831,train,0.0,1.8,0.0,5.0,0.0,0.0
86273,001cca7ae9ae17fb1caed9dfb1094831,train,0.0,1.7692307692307692,0.0,5.0,0.0,0.038461538461538464
48733,001cca7ae9ae17fb1caed9dfb1094831,train,0.0,1.7777777777777777,0.0,5.0,0.0,0.037037037037037035
22253,001cca7ae9ae17fb1caed9dfb1094831,train,0.0,1.7857142857142858,1.0,5.0,0.0,0.03571428571428571
53952,001cca7ae9ae17fb1caed9dfb1094831,train,0.0,1.7586206896551724,0.0,5.0,0.0,0.034482758620689655
