evento_id,entidade_id,data_evento,split,elegivel_downstream
0,48436dade18ac8b2bce089ec2a041202,2017-09-13 08:59:02,train,True
1,dd7ddc04e1b6c2c614352b383efe2d36,2017-04-26 10:53:06,train,True
2,5b51032eddd242adc84c38acab88f23d,2018-01-14 14:33:31,train,True
3,9d7a1d34a5052409006425275ba1c2b4,2018-08-08 10:00:35,test,True
4,df560393f3a51e74553ab94004ba5c87,2017-02-04 13:57:51,train,True
5,6426d21aca402a131fc0a5d0960a3c90,2017-05-15 21:42:34,train,True
6,7040e82f899a04d1b434b795a43b4617,2017-12-10 11:53:48,train,True
7,5996cddab893a4652a15592fb58ab8db,2018-07-04 12:08:27,test,False
8,a416b6a846a11724393025641d4edd5e,2018-03-19 18:40:33,train,True
9,ba143b05f0110f0dc71ad71b4466ce92,2018-07-02 13:59:39,test,True
10,cc419e0650a3c5ba77189a1882b7556a,2018-03-24 22:16:10,train,True
11,8602a61d680a10a82cceeeda0d99ea3d,2018-07-27 17:21:27,test,True
12,4a3ca9315b744ce9f8e9374361493884,2018-07-24 17:04:17,test,True
13,1f50f920176fa81dab994f9023523100,2018-02-13 22:10:21,train,True
14,1f50f920176fa81dab994f9023523100,2018-02-13 22:10:21,train,True
15,530ec6109d11eaaf87999465c6afee01,2018-08-14 20:43:09,test,True
16,fcb5ace8bcc92f75707dc0f01a27d269,2018-04-25 09:10:41,val,True
17,fe2032dab1a61af8794248c8196565c9,2018-05-11 20:33:38,val,True
18,218d46b86c1881d022bce9c68a7d4b15,2017-08-12 10:08:57,train,True
19,8cbac7e12637ed9cffa18c7875207478,2018-02-22 11:54:42,train,True
20,1c129092bf23f28a5930387c980c0dfc,2018-03-23 19:48:26,train,True
21,ea8482cd71df3c1969d7b9473ff13abc,2017-11-21 18:54:23,train,True
22,7c67e1448b00f6e969d365cea6b010ab,2018-03-07 10:33:13,train,True
23,6560211a19b47992c3666cc44a7e94c0,2018-02-27 09:27:14,train,True
24,3504c0cb71d7fa48d967e0e4c94d59d9,2017-09-11 17:39:33,train,True
25,c864036feaab8c1659f65ea4faebe1da,2017-08-06 00:42:49,train,True
26,bfd27a966d91cfaafdb25d076585f0da,2018-01-16 21:43:23,train,True
27,41b39e28db005d9731d9d485a83b4c38,2017-03-23 12:21:17,train,True
28,16090f2ca825584b5a147ab24aa30c86,2018-06-11 21:17:00,test,True
29,1554a68530182680ad5c8b042c3ab563,2017-12-05 23:40:59,train,True
30,e59aa562b9f8076dd550fcddf0e73491,2017-11-24 16:50:38,train,True
31,77530e9772f57a62c906e1c21538ab82,2018-04-07 18:51:22,val,True
32,a17f621c590ea0fab3d5d883e1630ec6,2017-10-16 15:29:43,train,True
33,a17f621c590ea0fab3d5d883e1630ec6,2017-10-16 15:29:43,train,True
34,a17f621c590ea0fab3d5d883e1630ec6,2017-10-16 15:29:43,train,True
35,92eb0f42c21942b6552362b9b114707d,2017-05-22 13:49:03,train,True
36,8b321bb669392f5163d04c59e235e066,2018-01-14 09:01:36,train,True
37,a3e9a2c700480d9bb01fba070ba80a0e,2018-01-16 09:26:39,train,True
38,a35124e2d763d7ca3fbe3b97d143200f,2017-04-28 19:54:40,train,True
39,25c5c91f63607446a97b143d2d535d31,2017-04-06 22:16:10,train,True
40,7a67c85e85bb2ce8582c35f2203ad736,2018-02-06 19:11:57,train,True
41,77530e9772f57a62c906e1c21538ab82,2018-03-06 06:40:28,train,True
42,5656537e588803a555b8eb41f07a944b,2017-12-27 00:38:47,train,True
43,5656537e588803a555b8eb41f07a944b,2017-12-27 00:38:47,train,True
44,5656537e588803a555b8eb41f07a944b,2017-12-27 00:38:47,train,True
45,ffc470761de7d0232558ba5e786e57b7,2018-07-04 11:39:11,test,True
46,9c0e69c7bf2619675bbadf47b43f655a,2018-03-26 17:42:53,train,True
47,4a3ca9315b744ce9f8e9374361493884,2017-11-24 19:19:18,train,True
48,f4aba7c0bca51484c30ab7bdc34bcdd1,2017-05-14 17:19:44,train,True
49,f4aba7c0bca51484c30ab7bdc34bcdd1,2017-05-14 17:19:44,train,True
50,f45122a9ab94eb4f3f8953578bc0c560,2017-05-17 23:19:34,train,True
51,4a3ca9315b744ce9f8e9374361493884,2017-01-28 13:17:57,train,True
52,3340ef1913fb70d28420f6ceb685c339,2017-03-18 11:47:37,train,True
