epoch,loss_treino,churn_auc,next_category_acc,next_category_f1,next_value_acc,next_value_f1,ltv_acc,ltv_f1
1,6.278995,0.754403,0.373236,0.277793,0.095130,0.044150,0.311380,0.091756
2,6.144497,0.776878,0.310575,0.120471,0.102109,0.018530,0.254170,0.100708
3,6.088735,0.785134,0.444849,0.405041,0.097406,0.020341,0.344001,0.147479
4,6.047011,0.782695,0.379760,0.296820,0.094978,0.030202,0.262078,0.152753
5,6.026849,0.784538,0.484448,0.455740,0.101654,0.042756,0.316199,0.197701
6,5.993086,0.784131,0.398422,0.277096,0.100895,0.021957,0.342518,0.160049
7,5.975279,0.785685,0.441359,0.360891,0.088757,0.043300,0.228345,0.100356
8,5.962162,0.785504,0.468518,0.411875,0.101805,0.048833,0.344742,0.147513
9,5.940804,0.784678,0.483235,0.408520,0.104081,0.054127,0.334857,0.156075
10,5.938272,0.781089,0.488848,0.461769,0.098923,0.050078,0.343136,0.168487
11,5.942078,0.783715,0.495372,0.464579,0.097861,0.051596,0.329544,0.134105
12,5.932932,0.782235,0.504021,0.474069,0.101502,0.030174,0.329791,0.145804
13,5.912918,0.780982,0.543620,0.538555,0.099681,0.058351,0.351538,0.158627
14,5.912732,0.782523,0.453345,0.419068,0.102109,0.036533,0.338070,0.201342
15,5.908977,0.782358,0.486117,0.460624,0.102868,0.057009,0.297047,0.173659
16,5.909787,0.783255,0.548323,0.534874,0.093461,0.033458,0.335599,0.161913
17,5.898807,0.780699,0.568047,0.565173,0.097557,0.027805,0.354751,0.169559
18,5.907186,0.783546,0.560006,0.552759,0.093764,0.054143,0.348202,0.148778
19,5.897925,0.783741,0.523138,0.509178,0.100743,0.061366,0.306685,0.187148
20,5.901654,0.782467,0.557730,0.549423,0.106812,0.022700,0.331398,0.166976
21,5.883955,0.783474,0.568199,0.564376,0.098316,0.028890,0.317188,0.173561
22,5.893772,0.780029,0.499772,0.478255,0.107116,0.058949,0.327938,0.142701
23,5.886841,0.782824,0.463359,0.409208,0.107116,0.042170,0.293340,0.122595
24,5.886285,0.783450,0.549841,0.536951,0.096495,0.032890,0.321883,0.154695
25,5.889545,0.783011,0.553937,0.554489,0.102412,0.050320,0.337205,0.157599
26,5.888337,0.783148,0.574268,0.571159,0.104992,0.034425,0.349561,0.178915
27,5.881197,0.780850,0.575482,0.571412,0.104840,0.050265,0.340541,0.171820
28,5.878391,0.783283,0.527993,0.497420,0.096343,0.028748,0.344866,0.161764
29,5.883718,0.782898,0.521620,0.509805,0.100743,0.044515,0.335969,0.143121
30,5.888795,0.783460,0.564103,0.557093,0.092399,0.037459,0.328432,0.169152
31,5.881004,0.784522,0.511910,0.470942,0.104233,0.063309,0.341283,0.157942
32,5.886347,0.784966,0.550751,0.541210,0.092095,0.047666,0.301495,0.134432
33,5.877861,0.781906,0.580337,0.578244,0.105750,0.056062,0.287656,0.137085
34,5.880799,0.783478,0.502048,0.470739,0.101502,0.053204,0.347708,0.157177
35,5.872454,0.784764,0.403581,0.313087,0.100592,0.078738,0.345607,0.124455
36,5.873312,0.785031,0.498862,0.482758,0.099681,0.047379,0.327567,0.151767
37,5.868747,0.785251,0.449249,0.403591,0.101502,0.049306,0.315705,0.125686
38,5.873665,0.785584,0.559551,0.555617,0.102564,0.058584,0.357469,0.161525
39,5.860805,0.784222,0.565923,0.560245,0.100592,0.054403,0.352280,0.170125
40,5.872560,0.786443,0.522834,0.504396,0.097709,0.043742,0.330533,0.156077
