epoch,loss_treino_media,loss_val,perplexidade_val,n_tokens_val,elapsed_s
1,2.667681,1.845078,6.3286,96595,12.2
2,1.773155,1.761743,5.8226,96595,11.4
3,1.730018,1.728423,5.6318,96595,11.6
4,1.681805,1.680782,5.3698,96595,11.5
5,1.653248,1.645482,5.1835,96595,11.6
6,1.639544,1.640854,5.1596,96595,11.6
7,1.631915,1.657079,5.2440,96595,11.7
8,1.626089,1.637589,5.1428,96595,11.6
9,1.622815,1.641271,5.1617,96595,11.6
10,1.619404,1.626257,5.0848,96595,11.7
11,1.617602,1.650386,5.2090,96595,11.6
12,1.615728,1.632720,5.1178,96595,11.6
13,1.613257,1.639597,5.1531,96595,11.6
14,1.612435,1.637828,5.1440,96595,11.4
15,1.610971,1.639588,5.1530,96595,11.5
16,1.609814,1.627716,5.0922,96595,11.5
17,1.608632,1.637451,5.1420,96595,11.5
18,1.608145,1.628249,5.0949,96595,11.6
19,1.607418,1.630671,5.1073,96595,11.7
20,1.606982,1.630134,5.1046,96595,12.1
21,1.606387,1.634233,5.1255,96595,11.6
22,1.606087,1.634220,5.1255,96595,11.4
23,1.606287,1.632705,5.1177,96595,11.6
24,1.605676,1.631882,5.1135,96595,11.5
25,1.605613,1.631347,5.1108,96595,11.6
26,1.605721,1.631740,5.1128,96595,11.6
27,1.605624,1.631962,5.1139,96595,11.6
28,1.605537,1.632023,5.1142,96595,11.7
29,1.605356,1.632045,5.1143,96595,10.7
30,1.605158,1.632054,5.1144,96595,8.7
