step,epoch,loss_treino,lr,grad_norm,tokens_por_seg,gpu_mem_gb,elapsed_s
1,1,5.758744,3.000000e-06,3.9531,3439.1,0.441,0.7
20,1,5.407248,6.000000e-05,2.0312,131146.5,0.590,1.1
40,1,4.853809,1.200000e-04,1.7266,81523.8,0.598,1.6
60,1,4.368209,1.800000e-04,1.5938,123376.3,0.603,2.0
80,1,3.836916,2.400000e-04,1.4922,76414.8,0.603,2.5
100,1,3.268235,3.000000e-04,1.2578,97641.3,0.603,2.9
120,1,2.765623,2.999982e-04,0.9961,105216.3,0.603,3.3
140,1,2.431417,2.999926e-04,0.7422,100461.1,0.603,3.7
160,1,2.246611,2.999834e-04,0.5586,113091.7,0.603,4.1
180,1,2.141686,2.999705e-04,0.4863,159978.9,0.614,4.5
200,1,2.072178,2.999540e-04,0.4727,93621.6,0.614,5.0
220,1,2.035843,2.999337e-04,0.5742,79882.4,0.614,5.5
240,1,2.020382,2.999098e-04,0.4922,172372.1,0.614,6.0
260,1,1.971336,2.998822e-04,0.5547,113251.6,0.614,6.4
280,1,1.926314,2.998509e-04,0.4824,94267.4,0.614,6.9
300,1,1.919102,2.998159e-04,0.6445,142080.1,0.614,7.3
320,1,1.898138,2.997772e-04,0.6602,80063.2,0.614,7.8
340,1,1.856937,2.997349e-04,0.5273,100431.3,0.614,8.3
360,1,1.873311,2.996889e-04,1.0391,162491.7,0.614,8.8
380,1,1.840706,2.996392e-04,0.6016,110144.1,0.614,9.2
400,1,1.826747,2.995858e-04,0.6953,115116.1,0.614,9.6
420,1,1.836211,2.995288e-04,0.6172,150172.8,0.614,10.1
440,2,1.810563,2.994681e-04,0.5117,81546.6,0.614,12.5
460,2,1.773363,2.994037e-04,0.5039,93657.3,0.614,13.0
480,2,1.815504,2.993357e-04,0.6758,103954.1,0.614,13.4
500,2,1.805355,2.992640e-04,0.5547,82634.3,0.614,13.9
520,2,1.784408,2.991886e-04,0.6211,110026.4,0.614,14.3
540,2,1.793359,2.991096e-04,0.5469,85126.9,0.614,14.8
560,2,1.794020,2.990269e-04,0.6992,88723.8,0.614,15.2
580,2,1.785196,2.989405e-04,0.7500,132424.8,0.614,15.6
600,2,1.770186,2.988505e-04,0.4961,96592.3,0.614,16.0
620,2,1.766454,2.987568e-04,0.4277,77328.8,0.614,16.4
640,2,1.770129,2.986595e-04,0.5625,132186.2,0.614,16.8
660,2,1.756159,2.985585e-04,0.6602,98264.4,0.614,17.3
680,2,1.762422,2.984539e-04,0.6562,90718.5,0.615,17.8
700,2,1.750522,2.983457e-04,0.5430,90575.5,0.615,18.2
720,2,1.765866,2.982338e-04,0.4316,93224.2,0.615,18.7
740,2,1.772372,2.981182e-04,0.6328,74537.5,0.615,19.1
760,2,1.749809,2.979990e-04,0.7148,108909.4,0.615,19.6
780,2,1.745865,2.978762e-04,0.5664,101817.1,0.615,20.1
800,2,1.759625,2.977498e-04,0.7031,99636.8,0.615,20.6
820,2,1.745679,2.976197e-04,0.4746,86047.6,0.615,21.0
840,2,1.735533,2.974860e-04,0.6406,151609.1,0.615,21.5
860,3,1.731499,2.973487e-04,0.5078,111754.2,0.615,23.8
880,3,1.761022,2.972077e-04,0.5039,117115.7,0.615,24.3
900,3,1.736440,2.970632e-04,0.6758,106757.2,0.615,24.7
920,3,1.750297,2.969150e-04,0.6641,127126.3,0.615,25.2
940,3,1.741088,2.967632e-04,0.4297,97409.3,0.615,25.7
960,3,1.750734,2.966078e-04,0.6406,113167.7,0.615,26.1
